iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,total_vaccinations
CHN,Asia,China,2020-01-22,548,,17,,0.379,0.012,
CHN,Asia,China,2020-01-23,641,93,18,1,0.444,0.012,
CHN,Asia,China,2020-01-24,918,277,26,8,0.636,0.018,
CHN,Asia,China,2020-01-25,1401,483,42,16,0.97,0.029,
CHN,Asia,China,2020-01-26,2067,666,56,14,1.431,0.039,
CHN,Asia,China,2020-01-27,2869,802,82,26,1.987,0.057,
CHN,Asia,China,2020-01-28,5501,2632,131,49,3.809,0.091,
CHN,Asia,China,2020-01-29,6077,576,133,2,4.208,0.092,
CHN,Asia,China,2020-01-30,8131,2054,171,38,5.63,0.118,
CHN,Asia,China,2020-01-31,9790,1659,213,42,6.779,0.147,
CHN,Asia,China,2020-02-01,11878,2088,259,46,8.225,0.179,
CHN,Asia,China,2020-02-02,16615,4737,361,102,11.505,0.25,
CHN,Asia,China,2020-02-03,19701,3086,425,64,13.641,0.294,
CHN,Asia,China,2020-02-04,23690,3989,490,65,16.403,0.339,
CHN,Asia,China,2020-02-05,27419,3729,562,72,18.985,0.389,
CHN,Asia,China,2020-02-06,30563,3144,632,70,21.162,0.438,
CHN,Asia,China,2020-02-07,34085,3522,717,85,23.601,0.496,
CHN,Asia,China,2020-02-08,36788,2703,804,87,25.473,0.557,
CHN,Asia,China,2020-02-09,39800,3012,904,100,27.558,0.626,
CHN,Asia,China,2020-02-10,42316,2516,1011,107,29.3,0.7,
CHN,Asia,China,2020-02-11,44337,2021,1111,100,30.7,0.769,
CHN,Asia,China,2020-02-12,44709,372,1116,5,30.957,0.773,
CHN,Asia,China,2020-02-13,59842,15133,1368,252,41.436,0.947,
CHN,Asia,China,2020-02-14,66302,6460,1520,152,45.909,1.052,
CHN,Asia,China,2020-02-15,68357,2055,1662,142,47.332,1.151,
CHN,Asia,China,2020-02-16,70456,2099,1765,103,48.785,1.222,
CHN,Asia,China,2020-02-17,72374,1918,1863,98,50.113,1.29,
CHN,Asia,China,2020-02-18,74149,1775,2002,139,51.342,1.386,
CHN,Asia,China,2020-02-19,74556,407,2114,112,51.624,1.464,
CHN,Asia,China,2020-02-20,75009,453,2236,122,51.938,1.548,
CHN,Asia,China,2020-02-21,75482,473,2236,0,52.265,1.548,
CHN,Asia,China,2020-02-22,76932,1450,2441,205,53.269,1.69,
CHN,Asia,China,2020-02-23,76948,16,2443,2,53.28,1.692,
CHN,Asia,China,2020-02-24,77162,214,2593,150,53.428,1.795,
CHN,Asia,China,2020-02-25,77670,508,2663,70,53.78,1.844,
CHN,Asia,China,2020-02-26,78075,405,2715,52,54.06,1.88,
CHN,Asia,China,2020-02-27,78508,433,2744,29,54.36,1.9,
CHN,Asia,China,2020-02-28,78834,326,2788,44,54.586,1.93,
CHN,Asia,China,2020-02-29,79261,427,2835,47,54.882,1.963,
CHN,Asia,China,2020-03-01,79836,575,2870,35,55.28,1.987,
CHN,Asia,China,2020-03-02,80036,200,2912,42,55.418,2.016,
CHN,Asia,China,2020-03-03,80161,125,2945,33,55.505,2.039,
CHN,Asia,China,2020-03-04,80281,120,2981,36,55.588,2.064,
CHN,Asia,China,2020-03-05,80432,151,3013,32,55.692,2.086,
CHN,Asia,China,2020-03-06,80583,151,3042,29,55.797,2.106,
CHN,Asia,China,2020-03-07,80662,79,3070,28,55.852,2.126,
CHN,Asia,China,2020-03-08,80709,47,3097,27,55.884,2.144,
CHN,Asia,China,2020-03-09,80745,36,3120,23,55.909,2.16,
CHN,Asia,China,2020-03-10,80767,22,3136,16,55.924,2.171,
CHN,Asia,China,2020-03-11,80795,28,3158,22,55.944,2.187,
CHN,Asia,China,2020-03-12,80803,8,3169,11,55.949,2.194,
CHN,Asia,China,2020-03-13,80811,8,3176,7,55.955,2.199,
CHN,Asia,China,2020-03-14,80837,26,3189,13,55.973,2.208,
CHN,Asia,China,2020-03-15,80858,21,3199,10,55.987,2.215,
CHN,Asia,China,2020-03-16,80878,20,3213,14,56.001,2.225,
CHN,Asia,China,2020-03-17,80896,18,3226,13,56.014,2.234,
CHN,Asia,China,2020-03-18,80921,25,3237,11,56.031,2.241,
CHN,Asia,China,2020-03-19,80948,27,3245,8,56.05,2.247,
CHN,Asia,China,2020-03-20,80994,46,3249,4,56.082,2.25,
CHN,Asia,China,2020-03-21,81032,38,3255,6,56.108,2.254,
CHN,Asia,China,2020-03-22,81118,86,3270,15,56.167,2.264,
CHN,Asia,China,2020-03-23,81142,24,3270,0,56.184,2.264,
CHN,Asia,China,2020-03-24,81205,63,3277,7,56.228,2.269,
CHN,Asia,China,2020-03-25,81251,46,3281,4,56.26,2.272,
CHN,Asia,China,2020-03-26,81329,78,3287,6,56.314,2.276,
CHN,Asia,China,2020-03-27,81378,49,3292,5,56.348,2.279,
CHN,Asia,China,2020-03-28,81438,60,3295,3,56.389,2.282,
CHN,Asia,China,2020-03-29,81481,43,3300,5,56.419,2.285,
CHN,Asia,China,2020-03-30,81516,35,3304,4,56.443,2.288,
CHN,Asia,China,2020-03-31,81565,49,3305,1,56.477,2.288,
CHN,Asia,China,2020-04-01,81596,31,3312,7,56.498,2.293,
CHN,Asia,China,2020-04-02,81630,34,3318,6,56.522,2.297,
CHN,Asia,China,2020-04-03,81666,36,3322,4,56.547,2.3,
CHN,Asia,China,2020-04-04,81681,15,3326,4,56.557,2.303,
CHN,Asia,China,2020-04-05,81712,31,3329,3,56.579,2.305,
CHN,Asia,China,2020-04-06,81751,39,3331,2,56.606,2.306,
CHN,Asia,China,2020-04-07,81783,32,3331,0,56.628,2.306,
CHN,Asia,China,2020-04-08,81849,66,3333,2,56.674,2.308,
CHN,Asia,China,2020-04-09,81910,61,3335,2,56.716,2.309,
CHN,Asia,China,2020-04-10,81952,42,3336,1,56.745,2.31,
CHN,Asia,China,2020-04-11,82014,62,3339,3,56.788,2.312,
CHN,Asia,China,2020-04-12,82130,116,3339,0,56.868,2.312,
CHN,Asia,China,2020-04-13,82204,74,3341,2,56.919,2.313,
CHN,Asia,China,2020-04-14,82294,90,3341,0,56.982,2.313,
CHN,Asia,China,2020-04-15,82339,45,3342,1,57.013,2.314,
CHN,Asia,China,2020-04-16,82386,47,3342,0,57.045,2.314,
CHN,Asia,China,2020-04-17,82739,353,4632,1290,57.29,3.207,
CHN,Asia,China,2020-04-18,82763,24,4632,0,57.307,3.207,
CHN,Asia,China,2020-04-19,82780,17,4632,0,57.318,3.207,
CHN,Asia,China,2020-04-20,82792,12,4632,0,57.327,3.207,
CHN,Asia,China,2020-04-21,82824,32,4632,0,57.349,3.207,
CHN,Asia,China,2020-04-22,82835,11,4632,0,57.356,3.207,
CHN,Asia,China,2020-04-23,82849,14,4632,0,57.366,3.207,
CHN,Asia,China,2020-04-24,82864,15,4632,0,57.376,3.207,
CHN,Asia,China,2020-04-25,82872,8,4632,0,57.382,3.207,
CHN,Asia,China,2020-04-26,82875,3,4633,1,57.384,3.208,
CHN,Asia,China,2020-04-27,82881,6,4633,0,57.388,3.208,
CHN,Asia,China,2020-04-28,82903,22,4633,0,57.403,3.208,
CHN,Asia,China,2020-04-29,82907,4,4633,0,57.406,3.208,
CHN,Asia,China,2020-04-30,82919,12,4633,0,57.415,3.208,
CHN,Asia,China,2020-05-01,82920,1,4633,0,57.415,3.208,
CHN,Asia,China,2020-05-02,82920,0,4633,0,57.415,3.208,
CHN,Asia,China,2020-05-03,82925,5,4633,0,57.419,3.208,
CHN,Asia,China,2020-05-04,82926,1,4633,0,57.419,3.208,
CHN,Asia,China,2020-05-05,82928,2,4633,0,57.421,3.208,
CHN,Asia,China,2020-05-06,82930,2,4633,0,57.422,3.208,
CHN,Asia,China,2020-05-07,82931,1,4633,0,57.423,3.208,
CHN,Asia,China,2020-05-08,82932,1,4633,0,57.424,3.208,
CHN,Asia,China,2020-05-09,82946,14,4633,0,57.433,3.208,
CHN,Asia,China,2020-05-10,82963,17,4633,0,57.445,3.208,
CHN,Asia,China,2020-05-11,82964,1,4633,0,57.446,3.208,
CHN,Asia,China,2020-05-12,82971,7,4633,0,57.451,3.208,
CHN,Asia,China,2020-05-13,82974,3,4633,0,57.453,3.208,
CHN,Asia,China,2020-05-14,82978,4,4633,0,57.455,3.208,
CHN,Asia,China,2020-05-15,82986,8,4633,0,57.461,3.208,
CHN,Asia,China,2020-05-16,82992,6,4634,1,57.465,3.209,
CHN,Asia,China,2020-05-17,82999,7,4634,0,57.47,3.209,
CHN,Asia,China,2020-05-18,83008,9,4634,0,57.476,3.209,
CHN,Asia,China,2020-05-19,83008,0,4634,0,57.476,3.209,
CHN,Asia,China,2020-05-20,83008,0,4634,0,57.476,3.209,
CHN,Asia,China,2020-05-21,83008,0,4634,0,57.476,3.209,
CHN,Asia,China,2020-05-22,83016,8,4634,0,57.482,3.209,
CHN,Asia,China,2020-05-23,83019,3,4634,0,57.484,3.209,
CHN,Asia,China,2020-05-24,83030,11,4634,0,57.491,3.209,
CHN,Asia,China,2020-05-25,83037,7,4634,0,57.496,3.209,
CHN,Asia,China,2020-05-26,83038,1,4634,0,57.497,3.209,
CHN,Asia,China,2020-05-27,83040,2,4634,0,57.498,3.209,
CHN,Asia,China,2020-05-28,83040,0,4634,0,57.498,3.209,
CHN,Asia,China,2020-05-29,83044,4,4634,0,57.501,3.209,
CHN,Asia,China,2020-05-30,83046,2,4634,0,57.502,3.209,
CHN,Asia,China,2020-05-31,83062,16,4634,0,57.514,3.209,
CHN,Asia,China,2020-06-01,83067,5,4634,0,57.517,3.209,
CHN,Asia,China,2020-06-02,83068,1,4634,0,57.518,3.209,
CHN,Asia,China,2020-06-03,83067,-1,4634,0,57.517,3.209,
CHN,Asia,China,2020-06-04,83072,5,4634,0,57.52,3.209,
CHN,Asia,China,2020-06-05,83075,3,4634,0,57.523,3.209,
